City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Abu Zabad,SD,78.06,overcast clouds,12.35,29.25,حامد محمد نور
11,Korcula,HR,79.77,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
14,Alofi,NU,77.04,light rain,-19.0595,-169.9187,Taloa Heights
15,Broome,US,75.99,few clouds,42.2506,-75.833,Chenango Valley State Park
16,Bandundu,CD,79.92,broken clouds,-3.3167,17.3667,Coja Color
22,Tual,ID,79.14,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
29,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
37,Auki,SB,85.69,broken clouds,-8.7676,160.7034,Auki Motel
38,Gushikawa,JP,83.79,broken clouds,26.3544,127.8686,Kirari Guest House
42,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
46,Lompoc,US,88.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
48,Popondetta,PG,87.87,overcast clouds,-8.7537,148.2534,Timos Transit House
50,Sisophon,KH,77.97,overcast clouds,13.5859,102.9737,Pyramid Hotel
51,Hithadhoo,MV,77.32,moderate rain,-0.6,73.0833,Scoop Guest House
53,Hambantota,LK,78.44,overcast clouds,6.1241,81.1185,Bungalow 63
54,Burns Lake,CA,86.7,scattered clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
60,Sola,VU,78.71,overcast clouds,-13.8833,167.55,Leumerus Bungalows
62,Puerto Gaitan,CO,76.5,broken clouds,4.3133,-72.0816,Brisas del Yucao
63,Umm Lajj,SA,85.91,broken clouds,25.0213,37.2685,Moon light Furnished Units
64,Lebanon,US,84.25,few clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
66,Pacific Grove,US,78.24,scattered clouds,36.6177,-121.9166,Lovers Point Inn
67,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
69,Korla,CN,80.62,overcast clouds,41.7597,86.1469,Gulisitan Hotel
71,Pangai,TO,76.57,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
73,Cururupu,BR,75.31,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
80,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
88,Atuona,PF,76.82,scattered clouds,-9.8,-139.0333,Villa Enata
92,Amga,RU,77.02,overcast clouds,60.8953,131.9608,Algys
93,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
95,Bandarbeyla,SO,75.9,scattered clouds,9.4942,50.8122,JABIR HOTEL
96,Bengkulu,ID,76.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
103,Catalina,US,85.5,scattered clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
106,Samarai,PG,80.17,overcast clouds,-10.6167,150.6667,Nuli Sapi
109,Half Moon Bay,US,79.05,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
