City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aripuana,BR,-9.1667,-60.6333,75.29,45,47,1.77,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,37.06,70,100,14.97,overcast clouds
2,Mount Isa,AU,-20.7333,139.5,64.17,39,23,11.5,few clouds
3,Karaton,ID,-6.3424,106.1045,74.39,93,97,1.72,overcast clouds
4,Airai,TL,-8.9266,125.4092,63.32,58,36,3.15,scattered clouds
5,Barrow,US,71.2906,-156.7887,37.42,87,100,6.91,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,39.11,80,58,30.87,broken clouds
7,Hobart,AU,-42.8794,147.3294,47.26,73,20,8.05,few clouds
8,Bluff,NZ,-46.6,168.3333,43.81,78,97,7.72,overcast clouds
9,Abu Zabad,SD,12.35,29.25,78.06,71,99,8.63,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,39.87,59,0,2.51,clear sky
11,Korcula,HR,42.9622,17.1369,79.77,73,1,4.81,clear sky
12,Ekhabi,RU,53.5102,142.9671,63.84,97,100,2.75,light rain
13,Pevek,RU,69.7008,170.3133,45.23,70,6,13.22,clear sky
14,Alofi,NU,-19.0595,-169.9187,77.04,83,25,20.24,light rain
15,Broome,US,42.2506,-75.833,75.99,62,20,6.91,few clouds
16,Bandundu,CD,-3.3167,17.3667,79.92,53,67,5.97,broken clouds
17,Mahebourg,MU,-20.4081,57.7,68.25,72,77,19.44,broken clouds
18,Ekibastuz,KZ,51.6667,75.3667,67.39,77,100,7.0,overcast clouds
19,Deputatskiy,RU,69.3,139.9,56.03,75,100,2.48,overcast clouds
20,Port Lincoln,AU,-34.7333,135.8667,56.41,44,100,17.76,moderate rain
21,Souillac,MU,-20.5167,57.5167,69.58,75,69,17.94,light rain
22,Tual,ID,-5.6667,132.75,79.14,88,85,18.99,overcast clouds
23,Clyde River,CA,70.4692,-68.5914,41.23,93,100,14.97,overcast clouds
24,Fort Nelson,CA,58.8053,-122.7002,57.54,91,100,5.48,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,58.77,81,20,14.29,few clouds
26,Albany,US,42.6001,-73.9662,79.34,54,22,4.29,few clouds
27,Hofn,IS,64.2539,-15.2082,47.25,72,100,22.53,light rain
28,Mataura,NZ,-46.1927,168.8643,43.48,89,83,2.19,broken clouds
29,Kapaa,US,22.0752,-159.319,84.52,61,0,11.5,clear sky
30,Gat,IL,31.61,34.7642,81.39,81,0,3.18,clear sky
31,Bonavista,CA,48.6499,-53.1147,57.31,90,97,14.03,overcast clouds
32,Yakima,US,46.4665,-120.6678,107.55,17,0,10.36,clear sky
33,Rikitea,PF,-23.1203,-134.9692,73.02,74,8,16.28,clear sky
34,Paripiranga,BR,-10.6875,-37.8617,65.35,97,68,6.67,broken clouds
35,New Norfolk,AU,-42.7826,147.0587,46.92,78,43,3.0,scattered clouds
36,Saint-Philippe,RE,-21.3585,55.7679,65.79,82,36,14.03,light rain
37,Auki,SB,-8.7676,160.7034,85.69,59,56,3.33,broken clouds
38,Gushikawa,JP,26.3544,127.8686,83.79,89,75,6.91,broken clouds
39,Chuy,UY,-33.6971,-53.4616,45.45,87,0,5.12,clear sky
40,Busselton,AU,-33.65,115.3333,51.87,61,98,20.6,overcast clouds
41,Guerrero Negro,MX,27.9769,-114.0611,72.63,69,94,13.89,overcast clouds
42,Vaini,TO,-21.2,-175.2,80.76,89,40,10.36,scattered clouds
43,Pisco,PE,-13.7,-76.2167,62.65,77,100,9.22,haze
44,Ust-Nera,RU,64.5667,143.2,68.04,44,99,2.06,overcast clouds
45,Gaoual,GN,11.75,-13.2,71.96,97,100,3.29,overcast clouds
46,Lompoc,US,34.6391,-120.4579,88.02,72,12,5.01,few clouds
47,Ribeira Grande,PT,38.5167,-28.7,73.76,71,13,0.94,few clouds
48,Popondetta,PG,-8.7537,148.2534,87.87,51,90,2.28,overcast clouds
49,Port Hedland,AU,-20.3167,118.5667,57.25,94,3,4.61,clear sky
50,Sisophon,KH,13.5859,102.9737,77.97,87,91,5.57,overcast clouds
51,Hithadhoo,MV,-0.6,73.0833,77.32,90,100,21.52,moderate rain
52,Ilulissat,GL,69.2167,-51.1,51.82,58,75,3.44,broken clouds
53,Hambantota,LK,6.1241,81.1185,78.44,85,99,11.59,overcast clouds
54,Burns Lake,CA,54.2331,-125.7533,86.7,21,35,6.55,scattered clouds
55,Ponta Do Sol,PT,32.6667,-17.1,74.03,81,5,4.54,clear sky
56,Kalmar,SE,56.6616,16.3616,52.97,100,20,0.0,few clouds
57,Khatanga,RU,71.9667,102.5,66.83,61,57,13.31,light rain
58,Krasnoselkup,RU,65.7,82.4667,62.73,66,93,11.61,overcast clouds
59,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,4.61,broken clouds
60,Sola,VU,-13.8833,167.55,78.71,81,96,13.94,overcast clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,38.57,78,99,13.56,overcast clouds
62,Puerto Gaitan,CO,4.3133,-72.0816,76.5,85,60,2.93,broken clouds
63,Umm Lajj,SA,25.0213,37.2685,85.91,62,60,9.57,broken clouds
64,Lebanon,US,36.2081,-86.2911,84.25,73,20,5.75,few clouds
65,Shebunino,RU,46.4339,141.8603,70.63,83,91,14.29,overcast clouds
66,Pacific Grove,US,36.6177,-121.9166,78.24,80,40,13.8,scattered clouds
67,Avarua,CK,-21.2078,-159.775,77.05,78,40,11.5,scattered clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,52.88,68,0,4.0,clear sky
69,Korla,CN,41.7597,86.1469,80.62,28,99,8.88,overcast clouds
70,Chokurdakh,RU,70.6333,147.9167,54.14,71,100,9.26,overcast clouds
71,Pangai,TO,-19.8,-174.35,76.57,87,25,18.03,scattered clouds
72,Biala Podlaska,PL,52.0324,23.1165,58.77,77,93,7.78,overcast clouds
73,Cururupu,BR,-1.8283,-44.8683,75.31,90,33,3.51,scattered clouds
74,Lumeje,AO,-11.55,20.7833,58.3,30,32,5.41,scattered clouds
75,Marienburg,PL,54.0359,19.0266,58.87,82,90,5.32,overcast clouds
76,Arraial Do Cabo,BR,-22.9661,-42.0278,68.77,85,99,20.31,light rain
77,East London,ZA,-33.0153,27.9116,60.93,73,11,9.89,few clouds
78,Bredasdorp,ZA,-34.5322,20.0403,48.79,72,96,7.2,overcast clouds
79,Yellowknife,CA,62.456,-114.3525,67.05,34,99,5.86,overcast clouds
80,Georgetown,MY,5.4112,100.3354,78.89,96,40,1.14,scattered clouds
81,Vao,NC,-22.6667,167.4833,70.3,85,100,10.45,overcast clouds
82,Kaiserslautern,DE,49.45,7.75,65.44,87,0,0.0,clear sky
83,Jamestown,US,42.097,-79.2353,71.24,52,0,5.75,clear sky
84,Ampanihy,MG,-24.7,44.75,62.8,80,4,6.17,clear sky
85,Dire Dawa,ET,9.5931,41.8661,70.88,68,56,15.3,light rain
86,Upernavik,GL,72.7868,-56.1549,43.34,88,100,4.16,light rain
87,Stornoway,GB,58.2093,-6.3865,59.04,95,100,19.57,moderate rain
88,Atuona,PF,-9.8,-139.0333,76.82,74,27,19.75,scattered clouds
89,Bambous Virieux,MU,-20.3428,57.7575,68.22,71,81,19.37,broken clouds
90,Thompson,CA,55.7435,-97.8558,66.27,65,100,8.66,overcast clouds
91,Kilindoni,TZ,-7.9139,39.6668,74.77,80,41,10.25,scattered clouds
92,Amga,RU,60.8953,131.9608,77.02,57,100,1.88,overcast clouds
93,San Andres,CO,12.5847,-81.7006,84.22,74,20,12.66,few clouds
94,Leshukonskoye,RU,64.8989,45.7622,59.0,88,8,5.1,clear sky
95,Bandarbeyla,SO,9.4942,50.8122,75.9,84,44,27.11,scattered clouds
96,Bengkulu,ID,-3.8004,102.2655,76.21,73,100,1.54,overcast clouds
97,Bermejo,AR,-32.8833,-68.8,57.15,34,100,2.66,overcast clouds
98,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,80,5.99,broken clouds
99,Ketchikan,US,55.3422,-131.6461,66.67,82,100,6.91,overcast clouds
100,Ruski Krstur,RS,45.5628,19.4158,68.02,61,3,5.17,clear sky
101,Mufumbwe,ZM,-13.6833,24.8,50.56,52,12,4.52,few clouds
102,Kaitangata,NZ,-46.2817,169.8464,43.41,67,79,4.16,broken clouds
103,Catalina,US,32.5056,-110.9211,85.5,67,47,3.0,scattered clouds
104,Port Elizabeth,ZA,-33.918,25.5701,55.31,85,68,7.0,broken clouds
105,Pangnirtung,CA,66.1451,-65.7125,54.82,73,100,5.12,overcast clouds
106,Samarai,PG,-10.6167,150.6667,80.17,80,90,8.3,overcast clouds
107,Cabo San Lucas,MX,22.8909,-109.9124,94.3,48,20,11.5,few clouds
108,Maragogi,BR,-9.0122,-35.2225,74.05,88,98,4.88,overcast clouds
109,Half Moon Bay,US,37.4636,-122.4286,79.05,78,100,21.85,mist
110,Panama City,PA,8.9936,-79.5197,82.38,75,40,4.61,scattered clouds
111,Salinopolis,BR,-0.6136,-47.3561,78.37,86,35,10.87,scattered clouds
112,Araouane,ML,18.9048,-3.5265,89.17,42,90,7.87,overcast clouds
113,Aktau,KZ,43.65,51.2,72.18,68,0,8.57,clear sky
114,Carnarvon,AU,-24.8667,113.6333,63.34,71,100,18.9,overcast clouds
115,Santa Barbara,US,34.7333,-120.0343,83.34,39,0,11.5,clear sky
116,Jaguariaiva,BR,-24.2511,-49.7058,48.79,61,0,6.29,clear sky
117,Faya,SA,18.3851,42.4509,63.12,55,95,3.85,overcast clouds
118,Marang,MY,5.2056,103.2059,78.69,88,48,4.7,scattered clouds
119,Codrington,AU,-38.2667,141.9667,47.8,65,2,17.98,clear sky
120,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.24,61,56,4.7,broken clouds
121,Saint-Pierre,RE,-21.3393,55.4781,68.92,74,0,3.44,clear sky
122,Chornobay,UA,49.6708,32.3239,63.63,66,46,4.97,scattered clouds
123,Katsuura,JP,35.1333,140.3,83.84,78,5,12.1,clear sky
124,Ostrovnoy,RU,68.0531,39.5131,46.85,94,100,23.17,overcast clouds
125,Bethel,US,41.3712,-73.414,81.19,70,75,5.75,broken clouds
126,Goundam,ML,16.4145,-3.6708,82.63,60,92,8.1,light rain
127,Tazovskiy,RU,67.4667,78.7,56.46,79,47,8.21,scattered clouds
128,Namibe,AO,-15.1961,12.1522,60.26,89,27,2.21,scattered clouds
129,Olafsvik,IS,64.8945,-23.7142,49.32,69,16,12.08,few clouds
130,Ewa Beach,US,21.3156,-158.0072,86.02,58,0,15.01,clear sky
131,Provideniya,RU,64.3833,-173.3,54.34,62,100,4.0,overcast clouds
132,Hilo,US,19.7297,-155.09,85.28,81,100,3.44,overcast clouds
133,Novyy Svit,UA,47.8059,38.0211,69.91,57,40,10.98,scattered clouds
134,Pochutla,MX,15.7432,-96.4661,82.81,89,94,1.41,overcast clouds
135,Kavieng,PG,-2.5744,150.7967,83.71,66,42,11.43,scattered clouds
136,Asau,RO,46.4333,26.4,63.52,89,91,1.92,overcast clouds
137,Wysokie Mazowieckie,PL,52.9166,22.5171,55.33,77,99,7.61,overcast clouds
138,Sioux Lookout,CA,50.1001,-91.917,72.54,54,42,4.18,scattered clouds
139,Xanxere,BR,-26.8769,-52.4042,43.38,91,19,1.52,few clouds
140,Butaritari,KI,3.0707,172.7902,82.24,73,4,14.25,clear sky
141,Songea,TZ,-10.6833,35.65,54.61,82,68,0.45,broken clouds
