City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-07-26 02:07:52,-21.3585,55.7679,64.22,83,59,11.41
1,Bluff,NZ,2022-07-26 02:04:34,-46.6,168.3333,46.8,89,100,27.04
2,La Ronge,CA,2022-07-26 02:03:48,55.1001,-105.2842,63.09,55,90,3.31
3,Ancud,CL,2022-07-26 02:07:53,-41.8697,-73.8203,47.61,94,100,8.25
4,Camacha,PT,2022-07-26 02:07:53,33.0833,-16.3333,67.42,94,40,17.27
5,Punta Arenas,CL,2022-07-26 02:07:53,-53.15,-70.9167,32.11,74,20,10.36
6,Talnakh,RU,2022-07-26 02:07:54,69.4865,88.3972,61.21,57,31,7.18
7,Klaksvik,FO,2022-07-26 02:06:13,62.2266,-6.589,47.32,84,40,9.19
8,Albany,US,2022-07-26 02:06:31,42.6001,-73.9662,71.37,64,0,8.52
9,Santa Ana,US,2022-07-26 02:05:40,33.7456,-117.8678,88.41,73,40,11.5
10,Butaritari,KI,2022-07-26 02:04:34,3.0707,172.7902,82.58,69,99,14.34
11,Tiksi,RU,2022-07-26 02:07:54,71.6872,128.8694,51.69,79,84,4.32
12,Hermanus,ZA,2022-07-26 02:07:55,-34.4187,19.2345,46.8,51,0,8.21
13,Cape Town,ZA,2022-07-26 02:07:37,-33.9258,18.4232,58.37,63,1,4.09
14,Jamestown,US,2022-07-26 02:07:55,42.097,-79.2353,62.51,79,0,5.75
15,Kaitangata,NZ,2022-07-26 02:07:55,-46.2817,169.8464,44.85,93,100,17.6
16,Mahebourg,MU,2022-07-26 02:07:56,-20.4081,57.7,68.29,88,40,4.61
17,Cabo San Lucas,MX,2022-07-26 02:07:56,22.8909,-109.9124,88.9,70,0,17.27
18,Atuona,PF,2022-07-26 02:07:56,-9.8,-139.0333,77.67,68,0,9.55
19,Kruisfontein,ZA,2022-07-26 02:07:57,-34.0033,24.7314,46.83,71,0,6.62
20,Yar-Sale,RU,2022-07-26 02:05:24,66.8333,70.8333,51.8,72,28,20.31
21,Barrow,US,2022-07-26 02:07:57,71.2906,-156.7887,37.42,87,100,26.46
22,Zwedru,LR,2022-07-26 02:07:58,6.0667,-8.1281,67.37,96,5,2.86
23,Caravelas,BR,2022-07-26 02:07:12,-17.7125,-39.2481,68.63,87,8,5.21
24,Rikitea,PF,2022-07-26 02:07:58,-23.1203,-134.9692,75.54,74,44,11.14
25,Georgetown,MY,2022-07-26 02:03:08,5.4112,100.3354,84.13,81,20,0.0
26,New Norfolk,AU,2022-07-26 02:05:34,-42.7826,147.0587,58.71,81,98,0.54
27,Tyrma,RU,2022-07-26 02:07:59,50.0833,132.1667,81.48,60,73,1.07
28,Brae,GB,2022-07-26 02:07:59,60.3964,-1.353,50.05,76,100,22.53
29,Marabba,SD,2022-07-26 02:07:59,12.35,32.1833,78.39,72,99,9.04
30,Vaini,TO,2022-07-26 02:08:00,-21.2,-175.2,77.16,88,20,11.5
31,Dafeng,CN,2022-07-26 02:08:00,23.4517,108.5881,89.38,63,0,4.05
32,Natalicio Talavera,PY,2022-07-26 02:08:00,-25.6333,-56.3,70.03,59,0,5.48
33,Kualakapuas,ID,2022-07-26 02:07:40,-3.0091,114.3876,85.03,65,53,3.78
34,Vao,NC,2022-07-26 02:08:01,-22.6667,167.4833,69.24,65,2,12.15
35,Hobart,AU,2022-07-26 02:08:01,-42.8794,147.3294,59.05,76,20,6.91
36,Fortuna,US,2022-07-26 02:08:02,40.5982,-124.1573,69.93,69,37,1.01
37,Bethel,US,2022-07-26 02:07:04,41.3712,-73.414,79.16,90,20,0.0
38,Dunedin,NZ,2022-07-26 02:06:00,-45.8742,170.5036,45.43,94,100,19.98
39,Castro,BR,2022-07-26 02:04:39,-24.7911,-50.0119,57.65,76,45,2.86
40,Baglung,NP,2022-07-26 02:08:02,28.2719,83.5898,73.87,88,30,2.04
41,Namibe,AO,2022-07-26 02:08:03,-15.1961,12.1522,60.91,85,4,7.47
42,Baza,ES,2022-07-26 02:08:00,37.4907,-2.7726,80.42,18,0,1.01
43,Sur,OM,2022-07-26 02:08:03,22.5667,59.5289,83.77,76,100,2.82
44,Busselton,AU,2022-07-26 02:08:05,-33.65,115.3333,61.88,80,100,19.62
45,Manihari,IN,2022-07-26 02:06:41,25.35,87.6333,83.97,72,96,5.66
46,Hasaki,JP,2022-07-26 02:08:05,35.7333,140.8333,81.0,82,100,20.42
47,Sarab,IR,2022-07-26 02:08:05,38.6066,44.9883,63.88,74,1,1.32
48,Torbay,CA,2022-07-26 02:08:06,47.6666,-52.7314,68.4,86,74,7.0
49,Ushuaia,AR,2022-07-26 02:03:09,-54.8,-68.3,23.0,94,71,5.39
50,Bozeman,US,2022-07-26 02:08:06,45.6796,-111.0386,79.68,39,0,5.75
51,East London,ZA,2022-07-26 02:08:07,-33.0153,27.9116,54.95,72,0,12.62
52,Lazarev,RU,2022-07-26 02:08:07,52.225,141.5131,58.71,91,100,0.29
53,Kapaa,US,2022-07-26 02:08:07,22.0752,-159.319,82.72,70,20,12.66
54,Karratha,AU,2022-07-26 02:03:32,-20.7377,116.8463,72.81,29,2,18.05
55,Havoysund,NO,2022-07-26 02:08:08,70.9963,24.6622,57.43,88,100,9.98
56,Thompson,CA,2022-07-26 02:05:01,55.7435,-97.8558,54.81,89,100,4.18
57,Praya,CV,2022-07-26 02:08:08,14.9215,-23.5087,79.34,78,20,5.75
58,Saraland,US,2022-07-26 02:08:09,30.8207,-88.0706,81.3,89,61,5.28
59,Asau,RO,2022-07-26 02:08:09,46.4333,26.4,64.96,89,0,3.65
60,San Quintin,MX,2022-07-26 02:05:46,30.4833,-115.95,68.88,78,0,10.74
61,Hilo,US,2022-07-26 02:07:58,19.7297,-155.09,88.29,91,75,4.61
62,Ati,TD,2022-07-26 02:08:09,13.2154,18.3353,82.8,63,97,12.37
63,Yerbogachen,RU,2022-07-26 02:08:10,61.2767,108.0108,78.6,64,33,11.45
64,Muros,ES,2022-07-26 02:08:10,42.7762,-9.0603,62.83,83,5,8.16
65,Qaanaaq,GL,2022-07-26 02:08:10,77.484,-69.3632,41.58,68,0,1.59
66,Ust-Kulom,RU,2022-07-26 02:08:11,61.6864,53.6902,53.85,72,18,4.25
67,Novobiryusinskiy,RU,2022-07-26 02:08:11,56.9578,97.7076,59.88,68,100,12.26
68,Bilma,NE,2022-07-26 02:08:11,18.6853,12.9164,86.54,20,20,11.34
69,Severo-Kurilsk,RU,2022-07-26 02:05:56,50.6789,156.125,54.88,79,46,10.51
70,Sechura,PE,2022-07-26 02:08:12,-5.5569,-80.8222,65.52,83,35,13.62
71,Norman Wells,CA,2022-07-26 02:08:12,65.282,-126.8329,77.36,35,14,10.8
72,Sao Felix Do Xingu,BR,2022-07-26 02:08:12,-6.6447,-51.995,79.36,45,96,1.14
73,Am Timan,TD,2022-07-26 02:08:13,11.0297,20.2827,74.75,92,100,7.7
74,Tuktoyaktuk,CA,2022-07-26 02:08:13,69.4541,-133.0374,59.4,57,100,15.75
75,Deputatskiy,RU,2022-07-26 02:05:33,69.3,139.9,63.43,57,99,5.73
76,Sorland,NO,2022-07-26 02:08:14,67.667,12.6934,53.46,90,100,17.18
77,Falun,SE,2022-07-26 02:08:14,60.6036,15.626,61.21,96,100,4.16
78,Belmonte,BR,2022-07-26 02:05:36,-15.8631,-38.8828,70.79,82,99,7.96
79,Novyy Urgal,RU,2022-07-26 02:08:14,51.0736,132.5642,80.94,59,7,0.67
80,Port Alfred,ZA,2022-07-26 02:04:27,-33.5906,26.891,49.17,85,0,1.01
81,Bontang,ID,2022-07-26 02:08:15,0.1333,117.5,82.17,76,91,5.82
82,Kahului,US,2022-07-26 02:08:15,20.8947,-156.47,86.02,63,40,21.85
83,Gumdag,TM,2022-07-26 02:08:16,39.2061,54.5906,81.75,55,93,7.99
84,Sangar,RU,2022-07-26 02:08:16,63.9242,127.4739,74.19,59,11,11.39
85,Pitimbu,BR,2022-07-26 02:05:36,-7.4706,-34.8086,72.19,82,15,11.77
86,Upernavik,GL,2022-07-26 02:08:16,72.7868,-56.1549,38.64,89,80,9.86
87,Montivilliers,FR,2022-07-26 02:08:17,49.5452,0.1877,65.17,77,100,12.66
88,Jalingo,NG,2022-07-26 02:08:17,8.8833,11.3667,72.9,92,100,7.49
